author	comment	vote	snownlp
胤祥	其实 上映 第一天 看 相当 不错 柏林 新生代 妥妥 不 撤片 可能 观众 奖 周 冬雨 相当 精湛 高龄 演 高中生 都 没有 问题 预定 明年 表演奖 不提 原著 不 说 审查 剧作 完成 不错 主线 上 很 用心 单说 少年 逻辑 拿来 做 核心 动力 相当 值得 表扬 放弃 现实主义 面向 借用 一种 混合 大半 韩国 挺好的 小半 日本 挺好的 方法 视听 上 做 很 到位 不用 再 强求 可信度 比起 连篇累牍 讨论 校园 好看 更 值得 讨论 高考 工厂 新闻 影像 收编 进 文本 收编 方式 效果	13	1.0
欢乐分裂	黑暗 中 共生 光明 中 跟随 太 干净 真的 相当 催泪 不得不 赞叹 曾国祥 演员 调教 能力 不得不 承认 两位 主演 选角 契合 大量 紧贴 脸部 大特写 几乎 毛孔 清晰可见 表演 经得起 摄影机 这般 长久 凝视 这是 少年 才 冲动 热血 这是 少年 独有 果敢 无畏 都 不会 少年 审讯 重头戏 顶光 直贯 下 身上 脸上 落下 阴影 才 共同 守护 秘密 眼角 隐隐 泛起 泪 命运 共同体 密码 一刻 终于 成为 日光 下 一道 阴影 成为 生命 中 一道 伤痕 揭秘 真相 回溯 拍 非常 有力 闪回 记忆 碎片 拼凑 信息 惊鸿 一现 念头 不愿 想起 瞬间 都 英语 三种 基本 时态 中停 伫 回温 释放 探监 室 玻璃 上 倒影 重叠 模糊 享受 光 折射出 红影 此刻 终于 肩并肩 走 日光 下	540	1.0
孟浪	更 像是 中国 版 寄生虫 校园 欺凌 犯罪 推理 构成 社会 寓言 两大 提喻 手段 阶级 固化 讽刺 人性 之恶 拷问 才 整部 挺好的 最 隐晦 最 本色 指向 影片 最大 妙笔 没有 人物 进行 绝对化 处理 尤其 周 冬雨 一角 承担 伤害 隐忍 反扑 一系列 转变 使 挺好的 更为 深刻 内涵 人性 善恶 转变 有时 一念之间 受害者 某种程度 上 促成 恶 一部分 复杂 社会 链条 中 根本 没有 无辜 人 山城 重庆 空间结构 人物 人名 挺好的 中 化为 一种 只可意会 次 语言 司法 审判 高考制度 类 看似 构成 社会 平等 治理 政策 形成 皮相 之间 对比 当然 金句 台词 写 太过 直接 有点 不 符合 现实情况 结尾 急转 光明 套路 导致 挺好的 没有 更上一层楼	19	1.0
内陆飞鱼	忍不住 五星 两个 灵气 演员 执行力 极高 团队 完成 极具 感染力 故事 来自 现实 却 不落窠臼 压抑 解气 残酷 纯洁 周 冬雨 审讯 室里 一场 戏 小偷 家族 里安 藤樱 受审 人 印象 深刻 早就 看 短发 大肚子 女警 不 顺眼 回怼 真 好 看多 日本 挺好的 里 校园 好看 事件 题材 早就 免疫 没想到 国产片 拍 力度 痛感 高考 阴影 笼罩 下 校园 拍出 监狱 般的 压抑感 两个 无助 少年 两个 互相 取暖 善良 小 野兽 社会 大 笼子 都 概莫能外	81	1.0
心生	9 分 聚焦 校园 好看 话题 本身 已 非常 难得 那场 凌辱 戏 拍 真实 绝望 会 不 自主 想起 真实 案例 视频 越想 越 难过 周 冬雨 表演 一如既往 棒 藏 角色 背后 力量 赋予 角色 所有 情绪 角色 直达 观者 心里 一次 影后 级 表演 易 烊 千玺 非常 棒 准确 克制 最 触动 人心 哭泣 时 整个 脸部 肌肉 轻微 抖动 所有 无奈 愤怒 心酸 祝福 都 里面 两人 监狱 里 对视 那场 戏 没有 台词 情绪 会 几次 起伏 倒映在 画面 里 玻璃 上 很 出彩 一场 戏 两个 人 都 完美 消化 片子 一种 压抑感 融合 复杂 情绪 最终 汇成 压抑 源自 受好看 对象 内心 痛苦 扩散 影片 每个 角落 类似 悲剧 不会 就此 终结 期待 社会 不断 聚焦 凝视 产生 更 有效 抑制 力量 乐园 依旧 乐园 不会 成为 人 usedtobe	44	1.0
绵羊星	说好 保护 世界 保护 太好 哭 周 冬雨 陈念 易 烊 千玺 小北 组合 一起 丝毫 没有 违和感 好 完全 看不出 年龄 差 周 冬雨 太 适合 陈念 角色 那么出色 小北 角色 千玺 诠释 太好了 善良 勇敢 叛逆 见过 肮脏 想要 相信 世界 却 不敢 这种 内心 挣扎 演出 喜欢 眼神 戏 易 烊 千玺 演员 他太能 惊喜 当然 挺好的 内容 本身 大过 演员 挺好的 立意 挺 好 最 重要 看 完 挺好的 能够 注意 重视 挺好的 反映 出来 社会 现实 问题 这点 挺 好 当然 相信 世界 总归 美好 保持 最初 心 善良 看待 世界 善意 待人 最后 夸 一下 挺好的 团队 真的 太 厉害 希望 付出 一份 努力 都 有所 回报 少年	68	1.0
咱说	开场 打下 四星 底子 看得出 导演 很 用心 做戏 三分之二 处 小北 假装 强奸 陈念 一幕 出 很大 问题 往后 越 拖拉 越 扣分 没 文化 小混混 心甘情愿 喜欢 有着 远大前程 女生 去 做 替罪羊 本身 很 庸俗 价值观 设定 没 文化 人命 更 贱 第一 观众 都 知道 国产挺好的 结局 必然 犯罪 之人要 伏法 结局 既定 前提 下 编剧 还 去 编造 这种 替罪羊 情节 未免太 思维 定势 大胆 反常规 反正 最后 都 圆 回来 男女 主角 文化 程度 上 鸿沟 已经 决定 俩 人 未来 价值观 人生 诸 方面 鸿沟 俩 人 未来 一起 可能性 非常低 前面 所有 情节 铺垫 都 没有 观众 看到 这俩 人爱得 死去活来 男方 义无反顾 地要 做 替罪羊 程度 俩 人 连小嘴 都 没 真的 亲过 一回 更 缠绵悱恻 当然 国产挺好的 不许 未成年人 相爱	150	1.0
Z❤9979	看 完 首映 接下来 还 想 再 刷 几次 不是 陈念 都 遇到 默默 保护 爱 小北 生活 底层 想要 保护 人 有着 渺小 希望 有着 想要 改变 喜欢 女孩 命运 目标 四字 弟弟 小 黄鸭 对视 那场 戏 真的 鸡皮疙瘩 直接 人 带入 世界 演技 真实 很棒 剧情 清晰 人物性格 不 脱轨 剧组 所有 场景 真的 有心 感谢 朋友 带 看 本来 还 怕 会 学生 时代 时 看 小说 出入 男女 主演 技圈 粉 小黄 鸭 熟练 演技 饰演 高中生 陈念 毫不 违和 更 意外 四字 弟弟 演技 落泪 对视 无声 眼神 回应 警察 时 问话 一幕 都 演活 或许 小北 小北 四字 弟弟 …	58	1.0
影志	往前走 一定 后面 后面 干嘛 披 床单 司机 … 哈哈哈 周 冬雨 真是 百搭 对方 都 会 衬 搭 很 好看 易 烊 千玺 出息 表现 竟 超出 预期 喜欢 人 想 最好 结局 赢 才 不算 输 保护 世界 保护 挺好的 透露 少年 气 意外 惊喜 世界 欺负 人想 保护 最后 警局 审讯 戏 成为 情绪 制高点 拯救 无辜 负重 … 包裹 出 挺好的 温暖 厚度 身边 观众 哭 倒 一片 经历 少年 20 年 后 更 懂 纯粹 青春 生活 阴沟 里 依然 仰望 星空	524	1.0
我想要两个西游	挺好的 少年 上映 去 看 原著 小说 小说 不 长 花 几个 小时 看 完 残酷 青春 里 算是 文笔 不错 玖 月 晞 喜欢 场景 细微 描写 展现 人物 内心世界 带 点 痞气 男孩 经受 校园 欺凌 却 瘦弱 无助 女孩 小小的 花 年纪 却 经历 不该 小小的 花 年纪 却 经历 不该 经历 黑暗 忍受 不能 忍受 忍受 也许 世界 充满 恨意 也许 世界 不抱 期待 还好 遇见 如同 一缕 暖暖的 阳光 撕破 黑暗 照进 世界 两个 同样 孤独 人 相拥 取暖 看 小说 自动 带入 两个 主角 脸 发现 导演组 选角 真的 超级 符合 瘦瘦小小 小 黄鸭 北野 本野 千玺 弟弟 千玺 弟弟 演技 真的 人 惊喜 周 冬雨 演技 算 一众 小花 里 拔尖 挺好的 真的 很棒 诚邀 大家 一起 去 挺好的院 观赏 ❤	593	1.0
